"RowNumber","BreedName","ZipCode","Borough","cleaned_borough","supposed_borough","issued_year","expired_year"
29554,"Beagle Crossbreed",14420,"manhattan","manhattan",NA,2015,2016
29948,"Pomeranian",11375,"manhattan","manhattan","queens",2015,2016
30466,"Pomeranian",10805,"bronx","bronx",NA,2015,2016
30722,"Schnauzer, Miniature",11050,"queens","queens",NA,2015,2017
30966,"Cairn Terrier",10463,"manhattan","manhattan","bronx",2015,2016
31026,"Unknown",11001,"queens","queens",NA,2015,2016
31048,"Brussels Griffon",11096,"queens","queens",NA,2015,2016
31284,"Labrador Retriever",7675,"manhattan","manhattan",NA,2015,2016
31307,"Labrador Retriever",11355,"brooklyn","brooklyn","queens",2015,2016
31327,"Boston Terrier",11413,"brooklyn","brooklyn","queens",2015,2016
31551,"American Pit Bull Mix / Pit Bull Mix",11386,"queens","queens",NA,2015,2016
31845,"Chihuahua Crossbreed",10036,"staten island","staten","manhattan",2015,2016
31942,"Catahoula Leopard Dog",11385,"brooklyn","brooklyn","queens",2015,2016
32215,"Yorkshire Terrier",10025,"new york","unknown","manhattan",2015,2016
32236,"Shiba Inu",12601,"queens","queens",NA,2015,2016
32248,"Boston Terrier",11010,"queens","queens",NA,2015,2016
32256,"Shih Tzu",11001,"queens","queens",NA,2015,2016
32446,"Dachshund Smooth Coat",10583,"manhattan","manhattan",NA,2015,2016
32448,"Unknown",11363,"manhattan","manhattan","queens",2015,2016
32454,"Siberian Husky",11706,"queens","queens",NA,2015,2020
32534,"Chihuahua",11003,"queens","queens",NA,2015,2016
32935,"Morkie",10801,"manhattan","manhattan",NA,2015,2016
32973,"Labrador Retriever Crossbreed",10550,"bronx","bronx",NA,2015,2016
32990,"Dachshund, Wirehaired, Miniature",11357,"brooklyn","brooklyn","queens",2015,2016
33214,"Collie, Border",11732,"queens","queens",NA,2015,2016
33234,"Papillon",11758,"queens","queens",NA,2015,2018
33469,"Poodle, Miniature",10075,"brooklyn","brooklyn","manhattan",2015,2016
33556,"Miniature Pinscher",11552,"staten island","staten",NA,2015,2016
33606,"Pomeranian",10004,"new york","unknown","manhattan",2015,2020
33753,"Dachshund Smooth Coat",11368,"brooklyn","brooklyn","queens",2015,2016
33791,"Bull Dog, English",11040,"queens","queens",NA,2015,2017
33874,"Pomeranian",7302,"manhattan","manhattan",NA,2015,2016
33987,"Pomeranian",11978,"queens","queens",NA,2015,2016
34051,"Shetland Sheepdog",11978,"queens","queens",NA,2015,2016
34160,"American Pit Bull Terrier/Pit Bull",18705,"brooklyn","brooklyn",NA,2015,2016
34170,"Shih Tzu",11590,"queens","queens",NA,2015,2016
34378,"Puggle",10029,"bronx","bronx","manhattan",2015,2016
34473,"Yorkshire Terrier",11385,"brooklyn","brooklyn","queens",2015,2016
34863,"Havanese",11001,"queens","queens",NA,2015,2016
34876,"Miniature Schnauzer",11001,"queens","queens",NA,2015,2016
35298,"Rhodesian Ridgeback",11791,"queens","queens",NA,2015,2016
35553,"Chihuahua",10029,"bronx","bronx","manhattan",2015,2016
35614,"Morkie",14228,"brooklyn","brooklyn",NA,2015,2016
35615,"Australian Cattledog",11385,"brooklyn","brooklyn","queens",2015,2016
35652,"Golden Retriever",11021,"staten island","staten",NA,2015,2016
35724,"Mastiff",11690,"queens","queens",NA,2015,2016
36096,"Rottweiler",10163,"manhattan","manhattan",NA,2015,2016
36168,"Unknown",11580,"queens","queens",NA,2015,2016
36187,"Unknown",10129,"manhattan","manhattan",NA,2015,2016
36338,"Yorkshire Terrier",11690,"queens","queens",NA,2015,2016
36471,"Maltese",11040,"queens","queens",NA,2015,2016
36561,"Bull Dog, English",11040,"queens","queens",NA,2015,2016
36924,"Poodle, Toy",10028,"new york","unknown","manhattan",2015,2016
37221,"American Eskimo dog",11040,"queens","queens",NA,2015,2016
37301,"Poodle, Standard",11001,"queens","queens",NA,2015,2016
37438,"Terrier mix",10009,"brooklyn","brooklyn","manhattan",2015,2016
37551,"Chihuahua",10701,"bronx","bronx",NA,2015,2016
37585,"Unknown",10306,"bronx","bronx","staten",2015,2016
38007,"Staffordshire Bull Terrier",7624,"manhattan","manhattan",NA,2015,2016
38037,"Chinese Crested",12083,"queens","queens",NA,2015,2016
38123,"German Shepherd Dog",10606,"bronx","bronx",NA,2015,2016
38142,"Yorkshire Terrier",10464,"manhattan","manhattan","bronx",2015,2016
38225,"Labrador Retriever",10163,"manhattan","manhattan",NA,2015,2018
38287,"Shih Tzu",10116,"manhattan","manhattan",NA,2015,2016
38297,"Unknown",10116,"manhattan","manhattan",NA,2015,2016
38586,"Dachshund",11205,"manhattan","manhattan","brooklyn",2015,2016
38673,"Shih Tzu",10466,"manhattan","manhattan","bronx",2015,2016
38823,"American Pit Bull Terrier/Pit Bull",10301,"queens","queens","staten",2015,2016
38939,"Labrador Retriever",90036,"brooklyn","brooklyn",NA,2015,2016
38975,"Boston Terrier",90036,"brooklyn","brooklyn",NA,2015,2016
39147,"Chihuahua",11001,"queens","queens",NA,2015,2016
39244,"Jack Russell Terrier",10036,"new york","unknown","manhattan",2015,2016
39500,"Jack Russell Terrier",10163,"manhattan","manhattan",NA,2015,2016
39807,"Pug",9012,"manhattan","manhattan",NA,2015,2016
39993,"Unknown",10021,"new york","unknown","manhattan",2015,2016
40103,"Labrador Retriever",77005,"manhattan","manhattan",NA,2015,2016
40109,"Cocker Spaniel",11516,"queens","queens",NA,2015,2016
40569,"Unknown",11378,"manhattan","manhattan","queens",2015,2016
40627,"Unknown",11050,"queens","queens",NA,2015,2016
40685,"Yorkshire Terrier",11236,"bronx","bronx","brooklyn",2015,2016
40936,"Pomeranian",11021,"queens","queens",NA,2015,2016
40998,"Shih Tzu Crossbreed",7302,"jersey city","not nyc",NA,2015,2016
41118,"American Pit Bull Terrier/Pit Bull",10301,"manhattan","manhattan","staten",2015,2016
41122,"Beagle",53494,"bronx","bronx",NA,2015,2016
41233,"American Pit Bull Terrier/Pit Bull",10703,"bronx","bronx",NA,2015,2016
41923,"Shih Tzu",10308,"queens","queens","staten",2015,2016
42174,"Cavalier King Charles Spaniel",11361,"manhattan","manhattan","queens",2015,2016
42199,"American Pit Bull Mix / Pit Bull Mix",10016,"brooklyn","brooklyn","manhattan",2015,2016
42468,"Rottweiler Crossbreed",11040,"queens","queens",NA,2015,2016
42494,"Chow Chow",10150,"manhattan","manhattan",NA,2015,2016
42649,"Yorkshire Terrier",10704,"bronx","bronx",NA,2015,2016
43115,"Morkie",11580,"queens","queens",NA,2015,2016
43211,"Great Pyrenees",94109,"san francisco","not nyc",NA,2015,2016
43388,"Maltese",11001,"queens","queens",NA,2015,2016
43545,"Unknown",12218,"brooklyn","brooklyn",NA,2015,2016
43693,"Labrador Retriever Crossbreed",11001,"queens","queens",NA,2015,2017
43995,"Shih Tzu",11211,"queens","queens","brooklyn",2015,2016
44087,"American Pit Bull Mix / Pit Bull Mix",11001,"queens","queens",NA,2015,2016
44265,"Weimaraner",11040,"queens","queens",NA,2015,2017
44474,"American Pit Bull Terrier/Pit Bull",10459,"manhattan","manhattan","bronx",2015,2016
44522,"Labrador Retriever",11001,"queens","queens",NA,2015,2018
44779,"American Pit Bull Mix / Pit Bull Mix",11714,"bronx","bronx",NA,2015,2016
44782,"Yorkshire Terrier",11743,"queens","queens",NA,2015,2016
44885,"Shih Tzu",10466,"manhattan","manhattan","bronx",2015,2017
45025,"Mastiff, French (Dogue de Bordeaux)",11743,"queens","queens",NA,2015,2016
45076,"Beagle",10313,"staten island","staten",NA,2015,2016
45131,"Beagle",10313,"staten island","staten",NA,2015,2016
45485,"Jack Russell Terrier",11205,"manhattan","manhattan","brooklyn",2016,2017
45565,"Yorkshire Terrier",7013,"queens","queens",NA,2016,2016
45652,"American Pit Bull Terrier/Pit Bull",11202,"brooklyn","brooklyn",NA,2016,2017
45732,"American Pit Bull Terrier/Pit Bull",11202,"brooklyn","brooklyn",NA,2016,2016
46189,"Shih Tzu",10805,"bronx","bronx",NA,2016,2017
46376,"Poodle",11001,"queens","queens",NA,2016,2017
46401,"Labrador Retriever",11201,"manhattan","manhattan","brooklyn",2016,2017
46639,"Maltese",11358,"brooklyn","brooklyn","queens",2016,2017
47164,"American Staffordshire Terrier",10019,"queens","queens","manhattan",2016,2017
47343,"Shih Tzu",10708,"bronxville","not nyc",NA,2016,2017
47468,"Maltese",10010,"new york","unknown","manhattan",2016,2017
47524,"Shiba Inu",10038,"brooklyn","brooklyn","manhattan",2016,2017
47601,"Unknown",11379,"bronx","bronx","queens",2016,2017
47697,"Unknown",10272,"manhattan","manhattan",NA,2016,2016
47725,"Chihuahua",11001,"queens","queens",NA,2016,2017
47787,"Unknown",11690,"queens","queens",NA,2016,2017
48077,"Miniature Pinscher",10150,"manhattan","manhattan",NA,2016,2021
48393,"French Bulldog",7030,"hoboken","not nyc",NA,2016,2017
48422,"American Pit Bull Mix / Pit Bull Mix",11217,"manhattan","manhattan","brooklyn",2016,2017
49116,"Shiba Inu",7302,"jersey city","not nyc",NA,2016,2017
49244,"Tibetan Spaniel",11386,"queens","queens",NA,2016,2017
49372,"Poodle",31539,"manhattan","manhattan",NA,2016,2017
49389,"Unknown",10012,"nyc","unknown","manhattan",2016,2017
49507,"Rottweiler",11206,"bronx","bronx","brooklyn",2016,2016
49521,"Bull Terrier",11004,"floral park","not nyc","queens",2016,2017
49572,"Yorkshire Terrier",11141,"queens","queens",NA,2016,2017
49625,"American Pit Bull Mix / Pit Bull Mix",11206,"manhattan","manhattan","brooklyn",2016,2017
49675,"American Pit Bull Terrier/Pit Bull",11372,"manhattan","manhattan","queens",2016,2016
49716,"Chihuahua",10150,"manhattan","manhattan",NA,2016,2017
49787,"Shih Tzu",11001,"queens","queens",NA,2016,2017
49830,"Greyhound",11231,"manhattan","manhattan","brooklyn",2016,2017
50074,"Poodle, Toy",10009,"new york","unknown","manhattan",2016,2017
50077,"Italian Greyhound",11206,"manhattan","manhattan","brooklyn",2016,2017
50167,"Shih Tzu Crossbreed",10024,"new york","unknown","manhattan",2016,2017
50348,"French Bulldog",10002,"brooklyn","brooklyn","manhattan",2016,2017
50581,"Havanese",10003,"staten island","staten","manhattan",2016,2017
50771,"Golden Retriever",11001,"queens","queens",NA,2016,2017
51102,"Labrador Retriever",11516,"queens","queens",NA,2016,2017
51170,"Cavalier King Charles Spaniel",10520,"ny","unknown",NA,2016,2017
51224,"Dachshund, Long Haired Miniature",11219,"manhattan","manhattan","brooklyn",2016,2017
51272,"Poodle, Miniature",11219,"manhattan","manhattan","brooklyn",2016,2017
51380,"Unknown",10021,"new york","unknown","manhattan",2016,2017
51432,"Shih Tzu",11001,"queens","queens",NA,2016,2017
51481,"Chihuahua",94608,"brooklyn","brooklyn",NA,2016,2017
51535,"Basenji",11001,"queens","queens",NA,2016,2017
51548,"Shih Tzu",20854,"potomac","unknown",NA,2016,2017
51638,"Labrador Retriever",11246,"queens","queens",NA,2016,2017
51790,NA,NA,NA,"unknown",NA,NA,NA
52311,"Cocker Spaniel",10647,"bronx","bronx",NA,2016,2016
52388,"Shih Tzu",10452,"manhattan","manhattan","bronx",2016,2016
52752,"American Pit Bull Mix / Pit Bull Mix",11201,"manhattan","manhattan","brooklyn",2016,2017
52770,"American Staffordshire Terrier",10113,"manhattan","manhattan",NA,2016,2017
52795,"Bull Dog, English",10013,"queens","queens","manhattan",2016,2017
53160,"Yorkshire Terrier",11694,"brooklyn","brooklyn","queens",2016,2017
53989,"Boxer",11001,"queens","queens",NA,2016,2017
54113,"Yorkshire Terrier",10021,"new york","unknown","manhattan",2016,2017
54562,"Cocker Spaniel",10025,"new york","unknown","manhattan",2016,2017
54818,"Boxer",11378,"manhattan","manhattan","queens",2016,2017
55066,"Belgian Malinois",11355,"manhattan","manhattan","queens",2016,2017
55204,"Havanese",10463,"manhattan","manhattan","bronx",2016,2016
55297,"Unknown",11202,"brooklyn","brooklyn",NA,2016,2017
55299,"Havanese",10463,"manhattan","manhattan","bronx",2016,2016
55792,"Border Terrier",11201,"new york","unknown","brooklyn",2016,2016
55920,"Shih Tzu",11376,"queens","queens",NA,2016,2017
55957,"Shih Tzu",11001,"queens","queens",NA,2016,2017
55975,"Poodle Crossbreed",11581,"queens","queens",NA,2016,2017
56044,"Unknown",11419,"manhattan","manhattan","queens",2016,2017
56214,"Jindo Dog, Korea",11001,"queens","queens",NA,2016,2017
56283,"Poodle Crossbreed",10522,"bronx","bronx",NA,2016,2017
56374,"Labrador Retriever",11001,"queens","queens",NA,2016,2017
56402,"Poodle, Toy",10163,"manhattan","manhattan",NA,2016,2017
56822,"Dalmatian",11040,"queens","queens",NA,2016,2017
56864,"Shih Tzu Crossbreed",10405,"bronx","bronx",NA,2016,2017
56885,"Shih Tzu Crossbreed",10405,"bronx","bronx",NA,2016,2017
56976,"American Pit Bull Terrier/Pit Bull",11758,"staten island","staten",NA,2016,2017
57030,"Poodle, Miniature",11691,"brooklyn","brooklyn","queens",2016,2017
57054,"Maltese",10021,"queens","queens","manhattan",2016,2017
57260,"Yorkshire Terrier",11001,"queens","queens",NA,2016,2017
57312,"American Pit Bull Mix / Pit Bull Mix",11422,"bronx","bronx","queens",2016,2017
57514,"Yorkshire Terrier",12590,"wappingers falls, ny","not nyc",NA,2016,2017
57526,"Beagle",11208,"queens","queens","brooklyn",2016,2017
57641,"Collie, Border",11425,"queens","queens",NA,2016,2017
57882,"Yorkshire Terrier",11416,"manhattan","manhattan","queens",2016,2017
57956,"West High White Terrier",10036,"new york","unknown","manhattan",2016,2017
58704,"Poodle, Toy",11356,"new york","unknown","queens",2016,2017
58815,"Chihuahua",11231,"b","unknown","brooklyn",2016,2017
58857,"Unknown",11001,"queens","queens",NA,2016,2017
59216,"Unknown",11375,"manhattan","manhattan","queens",2016,2017
59227,"Yorkshire Terrier",11207,"bronx","bronx","brooklyn",2016,2017
59447,"French Bulldog",12564,"queens","queens",NA,2016,2017
59544,"Dalmatian",11385,"brooklyn","brooklyn","queens",2016,2019
59674,"Rat Terrier",10009,"new york","unknown","manhattan",2016,2017
59716,"Pekingese",10018,"nyc","unknown","manhattan",2016,2017
59901,"Poodle, Miniature",10151,"new york","unknown","manhattan",2016,2017
59965,"Cavalier King Charles Spaniel",11004,"manhattan","manhattan","queens",2016,2017
60309,"American Bully",10128,"new york","unknown","manhattan",2016,2017
60574,"Unknown",11431,"queens","queens",NA,2016,2017
60644,"Scottish Terrier",10008,"manhattan","manhattan",NA,2016,2017
60673,"Unknown",10029,"new york","unknown","manhattan",2016,2017
60846,"Pomeranian",11001,"queens","queens",NA,2016,2017
