"issued_year","cleaned_borough","n"
2014,"bronx",140
2014,"brooklyn",491
2014,"manhattan",781
2014,"queens",335
2014,"staten",153
2015,"bronx",4575
2015,"brooklyn",11050
2015,"manhattan",15263
2015,"queens",8667
2015,"staten",3572
2016,"bronx",7833
2016,"brooklyn",18699
2016,"manhattan",26412
2016,"queens",15923
2016,"staten",7407
