"row_number","breed_name","zip_code","borough","cleaned_borough","final_borough","issued_year","expired_year","pit_bull"
977,"shih tzu",10312,"staten island","Staten Island","Staten Island",2014,2019,FALSE
984,"australian cattledog",10312,"staten island","Staten Island","Staten Island",2014,2019,FALSE
1012,"bull dog, english",10302,"staten island","Staten Island","Staten Island",2014,2019,FALSE
1087,"cairn terrier",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1090,"shih tzu",10310,"staten island","Staten Island","Staten Island",2014,2019,FALSE
1103,"labrador retriever",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1118,"labrador retriever",10301,"staten island","Staten Island","Staten Island",2014,2019,FALSE
1217,"havanese",10312,"staten island","Staten Island","Staten Island",2014,2019,FALSE
1283,"american staffordshire terrier",10301,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1285,"australian silky terrier",10303,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1298,"yorkshire terrier",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1299,"pekingese",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1313,"poodle, toy",10308,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1333,"unknown",10307,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1336,"labrador retriever",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1343,"wheaton terrier",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1346,"unknown",10303,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1370,"poodle, miniature",10302,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1394,"collie",10302,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1415,"unknown",10305,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1422,"lhasa apso",10307,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1433,"labrador retriever",10309,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1480,"miniature pinscher",10305,"staten island","Staten Island","Staten Island",2014,2017,FALSE
1481,"unknown",10308,"staten island","Staten Island","Staten Island",2014,2019,FALSE
1492,"unknown",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1504,"labrador retriever crossbreed",10302,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1507,"unknown",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1517,"lhasa apso",10310,"staten is","Staten Island","Staten Island",2014,2016,FALSE
1519,"pug",10309,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1532,"cavalier king charles spaniel",10305,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1539,"unknown",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1554,"unknown",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1556,"pug",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1561,"german shepherd dog",10302,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1575,"cane corso",10303,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1578,"unknown",10308,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1587,"german shepherd dog",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1593,"unknown",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1607,"american pit bull terrier/pit bull",10304,"staten island","Staten Island","Staten Island",2014,2016,TRUE
1613,"labrador retriever",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1622,"pug",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1625,"golden retriever",10309,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1626,"unknown",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1627,"unknown",10305,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1633,"schnauzer, miniature",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1638,"american pit bull mix / pit bull mix",10310,"staten island","Staten Island","Staten Island",2014,2016,TRUE
1644,"unknown",10304,"staten is","Staten Island","Staten Island",2014,2016,FALSE
1659,"yorkshire terrier",10314,"staten is","Staten Island","Staten Island",2014,2016,FALSE
1667,"shih tzu",10302,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1674,"shih tzu",10308,"staten island","Staten Island","Staten Island",2014,2016,FALSE
