"issued_year","ZipCode","n"
2016,10307,12
2016,10308,32
2016,10309,26
2016,10310,29
2016,10312,46
2016,10314,66
2016,10451,13
2016,10452,23
2016,10453,29
2016,10454,32
2016,10455,22
2016,10456,33
2016,10457,21
2016,10458,31
2016,10459,25
2016,10460,25
2016,10461,48
2016,10462,33
2016,10463,48
2016,10464,7
2016,10465,49
2016,10466,16
2016,10467,51
2016,10468,35
2016,10469,32
2016,10470,12
2016,10471,9
2016,10472,36
2016,10473,52
2016,10474,8
2016,10475,2
2016,11004,6
2016,11101,22
2016,11102,19
2016,11103,17
2016,11104,17
2016,11105,16
2016,11106,17
2016,11109,1
2016,11201,30
2016,11202,2
2016,11203,20
2016,11204,7
2016,11205,27
2016,11206,51
2016,11207,62
2016,11208,55
2016,11209,41
2016,11210,16
2016,11211,36
2016,11212,25
2016,11213,17
2016,11214,28
2016,11215,42
2016,11216,48
2016,11217,22
2016,11218,32
2016,11219,10
2016,11220,26
2016,11221,58
2016,11222,31
2016,11223,28
2016,11224,24
2016,11225,27
2016,11226,39
2016,11228,24
2016,11229,31
2016,11230,18
2016,11231,27
2016,11232,14
2016,11233,38
2016,11234,45
2016,11235,27
2016,11236,43
2016,11237,20
2016,11238,52
2016,11239,8
2016,11249,7
2016,11354,11
2016,11355,6
2016,11356,10
2016,11357,13
2016,11358,8
2016,11360,2
2016,11361,12
2016,11362,3
2016,11363,1
2016,11364,8
2016,11365,13
2016,11366,8
2016,11367,5
2016,11368,16
2016,11369,16
2016,11370,8
2016,11372,23
2016,11373,12
2016,11374,9
2016,11375,14
2016,11377,24
2016,11378,22
2016,11379,30
2016,11385,66
2016,11411,4
2016,11412,18
2016,11413,14
2016,11414,15
2016,11415,14
2016,11416,7
2016,11417,23
2016,11418,20
2016,11419,16
2016,11420,21
2016,11421,26
2016,11422,6
2016,11423,9
2016,11426,4
2016,11427,3
2016,11428,5
2016,11429,3
2016,11432,13
2016,11433,18
2016,11434,21
2016,11435,18
2016,11436,6
2016,11691,14
2016,11692,5
2016,11693,13
2016,11694,9
2016,11697,2
