"issued_year","ZipCode","n"
2015,11418,135
2015,11419,97
2015,11420,125
2015,11421,188
2015,11422,41
2015,11423,65
2015,11426,68
2015,11427,66
2015,11428,54
2015,11429,53
2015,11431,1
2015,11432,118
2015,11433,71
2015,11434,122
2015,11435,128
2015,11436,47
2015,11690,2
2015,11691,106
2015,11692,71
2015,11693,91
2015,11694,118
2015,11697,16
2016,10001,552
2016,10002,699
2016,10003,948
2016,10004,73
2016,10005,151
2016,10006,76
2016,10007,130
2016,10008,1
2016,10009,1296
2016,10010,735
2016,10011,1363
2016,10012,526
2016,10013,441
2016,10014,952
2016,10016,781
2016,10017,227
2016,10018,185
2016,10019,891
2016,10020,4
2016,10021,911
2016,10022,684
2016,10023,1487
2016,10024,1518
2016,10025,1857
2016,10026,321
2016,10027,532
2016,10028,1026
2016,10029,994
2016,10030,175
2016,10031,387
2016,10032,394
2016,10033,438
2016,10034,397
2016,10035,322
2016,10036,682
2016,10037,161
2016,10038,433
2016,10039,191
2016,10040,327
2016,10044,124
2016,10065,634
2016,10069,172
2016,10075,537
2016,10101,2
2016,10107,1
2016,10111,1
2016,10113,1
2016,10116,1
2016,10119,1
2016,10128,1330
2016,10129,5
2016,10150,4
2016,10153,1
2016,10155,4
2016,10156,2
2016,10159,2
2016,10162,5
2016,10163,7
2016,10185,7
2016,10268,1
2016,10272,3
2016,10274,1
2016,10276,1
2016,10280,201
2016,10282,96
2016,10301,451
2016,10302,205
2016,10303,234
2016,10304,484
2016,10305,585
2016,10306,1077
2016,10307,245
2016,10308,606
2016,10309,624
2016,10310,352
2016,10312,1210
2016,10314,1334
2016,10451,227
2016,10452,217
2016,10453,196
2016,10454,229
2016,10455,238
2016,10456,345
2016,10457,209
2016,10458,291
2016,10459,245
2016,10460,245
2016,10461,571
2016,10462,541
2016,10463,694
2016,10464,112
2016,10465,656
2016,10466,239
2016,10467,432
2016,10468,234
2016,10469,400
2016,10470,96
2016,10471,309
2016,10472,344
2016,10473,536
2016,10474,59
2016,10475,168
2016,11004,142
2016,11101,472
2016,11102,333
2016,11103,260
2016,11104,305
2016,11105,391
2016,11106,372
2016,11109,158
2016,11201,1218
2016,11202,4
2016,11203,204
2016,11204,382
2016,11205,386
2016,11206,641
2016,11207,380
2016,11208,376
2016,11209,973
2016,11210,178
2016,11211,642
2016,11212,232
2016,11213,236
2016,11214,632
2016,11215,1305
2016,11216,382
2016,11217,587
2016,11218,670
2016,11219,206
2016,11220,549
2016,11221,539
2016,11222,540
2016,11223,442
2016,11224,389
2016,11225,318
2016,11226,461
2016,11228,454
2016,11229,637
2016,11230,366
2016,11231,627
2016,11232,194
2016,11233,334
2016,11234,812
2016,11235,614
2016,11236,359
2016,11237,313
2016,11238,651
2016,11239,129
2016,11242,1
2016,11243,7
2016,11249,329
2016,11354,296
2016,11355,374
2016,11356,210
2016,11357,501
2016,11358,376
2016,11360,197
2016,11361,394
2016,11362,146
2016,11363,85
2016,11364,357
2016,11365,357
2016,11366,134
2016,11367,253
2016,11368,305
2016,11369,192
2016,11370,215
2016,11372,520
2016,11373,460
2016,11374,348
2016,11375,747
2016,11377,636
2016,11378,445
2016,11379,630
2016,11385,934
2016,11386,4
2016,11411,74
2016,11412,130
2016,11413,117
2016,11414,324
2016,11415,199
2016,11416,138
2016,11417,255
2016,11418,248
2016,11419,162
2016,11420,195
2016,11421,326
2016,11422,108
2016,11423,121
2016,11425,2
2016,11426,177
2016,11427,129
2016,11428,87
2016,11429,78
2016,11431,1
2016,11432,201
2016,11433,96
2016,11434,204
2016,11435,237
2016,11436,66
2016,11690,3
2016,11691,159
2016,11692,99
2016,11693,171
2016,11694,223
2016,11697,44
